Price,Close,High,Low,Open,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Date,,,,,
2021-12-09,1639.2261962890625,1644.7571249791288,1619.287256799063,1635.089715677125,2082171
2021-12-10,1635.322265625,1639.5052698570948,1623.0056420527214,1636.0194329970159,1823469
2021-12-13,1621.7506103515625,1646.5697210634014,1616.312728057535,1642.5726965906615,4040584
2021-12-14,1628.72216796875,1638.8078315891617,1589.8666674694077,1608.9690956934978,4768144
2021-12-15,1612.03662109375,1624.8180212575896,1599.9523882115743,1622.0758753382063,3053149
2021-12-16,1646.802001953125,1652.3793400361485,1634.160058325852,1638.482518034442,4481031
2021-12-17,1692.5826416015625,1712.2427809170886,1679.475919881623,1691.7925414055924,18887243
2021-12-20,1672.1790771484375,1700.7629372431988,1661.3962453028737,1674.78176705806,5773891
2021-12-21,1683.9842529296875,1708.5245631468267,1674.1309783609547,1674.1309783609547,5353584
2021-12-22,1696.161376953125,1700.2979706726367,1684.6813790599217,1696.4402892384785,4156428
2021-12-23,1726.74365234375,1730.4618773115321,1698.2992540344615,1702.2498680627298,4112933
2021-12-24,1732.228271484375,1743.6153368590376,1723.3974860917797,1741.0125336706208,3780347
2021-12-27,1734.691650390625,1742.4534234208718,1715.0780335894442,1728.9748559951036,2647733
2021-12-28,1755.00244140625,1762.345959485619,1746.078722873008,1748.2166344593516,3340933
2021-12-29,1752.7252197265625,1760.3940604829938,1744.2197554660893,1750.8195836046475,3236635
2021-12-30,1759.5107421875,1775.2667906515426,1742.3139494409475,1751.7489692366817,4584738
2021-12-31,1754.7701416015625,1764.6234170140424,1739.804305850686,1756.8616435581794,4619420
2022-01-03,1764.7161865234375,1779.2173561899526,1754.7699790838562,1754.7699790838562,3329616
2022-01-04,1765.3670654296875,1772.3387384521004,1745.7069248122345,1764.7163078648512,3921999
2022-01-05,1714.7061767578125,1768.8528351885188,1710.3837169527878,1766.157099027335,6995719
2022-01-06,1689.7476806640625,1699.2291106192843,1673.2015312443718,1699.2291106192843,6449205
2022-01-07,1686.494140625,1706.665468144312,1679.5224679610117,1687.5630396564902,4834389
2022-01-10,1720.3765869140625,1738.1776154920908,1685.2858311901637,1687.144944076198,7857560
